timestamp,equity,cash,positions
2022-04-27,100000,100000,{}
2022-04-28,100000,100000,{}
2022-04-29,100000,100000,{}
2022-04-30,100000,100000,{}
2022-05-01,100000,100000,{}
2022-05-02,100000,100000,{}
2022-05-03,100000,100000,{}
2022-05-04,100000,100000,{}
2022-05-05,100000,100000,{}
2022-05-06,100000,100000,{}
2022-05-07,100000,100000,{}
2022-05-08,100000,100000,{}
2022-05-09,100000,100000,{}
2022-05-10,100000,100000,{}
2022-05-11,100000,100000,{}
2022-05-12,100000,100000,{}
2022-05-13,100000,100000,{}
2022-05-14,100000,100000,{}
2022-05-15,100000,100000,{}
2022-05-16,100000,100000,{}
2022-05-17,100000,100000,{}
2022-05-18,100000,100000,{}
2022-05-19,100000,100000,{}
2022-05-20,100000,100000,{}
2022-05-21,100000,100000,{}
2022-05-22,100000,100000,{}
2022-05-23,100000,100000,{}
2022-05-24,100000,100000,{}
2022-05-25,100000,100000,{}
2022-05-26,100000,100000,{}
2022-05-27,100000,100000,{}
2022-05-28,100000,100000,{}
2022-05-29,100000,100000,{}
2022-05-30,100000,100000,{}
2022-05-31,100000,100000,{}
2022-06-01,100000,100000,{}
2022-06-02,100000,100000,{}
2022-06-03,100000,100000,{}
2022-06-04,100000,100000,{}
2022-06-05,100000,100000,{}
2022-06-06,100000,100000,{}
2022-06-07,100000,100000,{}
2022-06-08,100000,100000,{}
2022-06-09,100000,100000,{}
2022-06-10,100000,100000,{}
2022-06-11,100000,100000,{}
2022-06-12,100000,100000,{}
2022-06-13,100000,100000,{}
2022-06-14,100000,100000,{}
2022-06-15,100000,100000,{}
2022-06-16,100000,100000,{}
2022-06-17,100000,100000,{}
2022-06-18,100000,100000,{}
2022-06-19,100000,100000,{}
2022-06-20,100000,100000,{}
2022-06-21,100000,100000,{}
2022-06-22,100000,100000,{}
2022-06-23,100000,100000,{}
2022-06-24,100000,100000,{}
2022-06-25,100000,100000,{}
2022-06-26,100000,100000,{}
2022-06-27,100000,100000,{}
2022-06-28,100000,100000,{}
2022-06-29,100000,100000,{}
2022-06-30,100000,100000,{}
2022-07-01,100000,100000,{}
2022-07-02,100000,100000,{}
2022-07-03,100000,100000,{}
2022-07-04,100000,100000,{}
2022-07-05,100000,100000,{}
2022-07-06,100000,100000,{}
2022-07-07,100000,100000,{}
2022-07-08,100000,100000,{}
2022-07-09,100000,100000,{}
2022-07-10,100000,100000,{}
2022-07-11,100000,100000,{}
2022-07-12,100000,100000,{}
