timestamp,signal,price,direction,system,log_time,bar_timestamp,symbol
2025-04-02 11:06:00.159522-04:00,-1,562.84,SHORT,live,2025-04-02T11:06:00.209188,2025-04-02 11:06:00.159522,SPY
2025-04-02 11:06:26.339860-04:00,-1,562.82,SHORT,live,2025-04-02T11:06:26.359666,2025-04-02 11:06:26.339860,SPY
2025-04-02 11:06:26.469141-04:00,-1,562.82,SHORT,live,2025-04-02T11:06:26.486052,2025-04-02 11:06:26.469141,SPY
2025-04-02 11:07:00.142472-04:00,-1,563.09,SHORT,live,2025-04-02T11:07:00.199096,2025-04-02 11:07:00.142472,SPY
2025-04-02 11:07:26.532909-04:00,-1,562.93,SHORT,live,2025-04-02T11:07:26.556076,2025-04-02 11:07:26.532909,SPY
2025-04-02 11:07:26.662514-04:00,-1,562.93,SHORT,live,2025-04-02T11:07:26.679748,2025-04-02 11:07:26.662514,SPY
2025-04-02 11:08:00.126477-04:00,-1,562.89,SHORT,live,2025-04-02T11:08:00.179355,2025-04-02 11:08:00.126477,SPY
2025-04-02 11:08:26.707582-04:00,-1,563.07,SHORT,live,2025-04-02T11:08:26.729565,2025-04-02 11:08:26.707582,SPY
2025-04-02 11:08:26.834996-04:00,-1,563.07,SHORT,live,2025-04-02T11:08:26.851957,2025-04-02 11:08:26.834996,SPY
2025-04-02 11:09:00.119201-04:00,-1,563.08,SHORT,live,2025-04-02T11:09:00.183079,2025-04-02 11:09:00.119201,SPY
2025-04-02 11:09:26.859339-04:00,-1,562.83,SHORT,live,2025-04-02T11:09:26.877967,2025-04-02 11:09:26.859339,SPY
2025-04-02 11:09:26.983013-04:00,-1,562.83,SHORT,live,2025-04-02T11:09:26.998684,2025-04-02 11:09:26.983013,SPY
2025-04-02 11:10:00.128460-04:00,-1,563.08,SHORT,live,2025-04-02T11:10:00.183166,2025-04-02 11:10:00.128460,SPY
2025-04-02 11:10:27.023368-04:00,-1,562.95,SHORT,live,2025-04-02T11:10:27.045779,2025-04-02 11:10:27.023368,SPY
2025-04-02 11:10:27.145003-04:00,-1,562.95,SHORT,live,2025-04-02T11:10:27.161516,2025-04-02 11:10:27.145003,SPY
2025-04-02 11:11:00.110878-04:00,-1,562.63,SHORT,live,2025-04-02T11:11:00.161542,2025-04-02 11:11:00.110878,SPY
2025-04-02 11:11:27.266917-04:00,-1,562.86,SHORT,live,2025-04-02T11:11:27.285607,2025-04-02 11:11:27.266917,SPY
2025-04-02 11:11:27.390261-04:00,-1,562.86,SHORT,live,2025-04-02T11:11:27.406345,2025-04-02 11:11:27.390261,SPY
2025-04-02 11:12:00.159789-04:00,-1,562.6,SHORT,live,2025-04-02T11:12:00.215319,2025-04-02 11:12:00.159789,SPY
2025-04-02 11:12:27.438395-04:00,-1,562.82,SHORT,live,2025-04-02T11:12:27.461082,2025-04-02 11:12:27.438395,SPY
2025-04-02 11:12:27.565832-04:00,-1,562.82,SHORT,live,2025-04-02T11:12:27.582417,2025-04-02 11:12:27.565832,SPY
2025-04-02 11:12:59.979352-04:00,-1,562.96,SHORT,live,2025-04-02T11:13:00.050505,2025-04-02 11:12:59.979352,SPY
2025-04-02 11:13:27.601425-04:00,-1,563.04,SHORT,live,2025-04-02T11:13:27.622983,2025-04-02 11:13:27.601425,SPY
2025-04-02 11:13:27.761989-04:00,-1,563.04,SHORT,live,2025-04-02T11:13:27.776904,2025-04-02 11:13:27.761989,SPY
2025-04-02 11:14:00.108804-04:00,-1,563.16,SHORT,live,2025-04-02T11:14:00.162038,2025-04-02 11:14:00.108804,SPY
2025-04-02 11:14:27.775058-04:00,-1,562.98,SHORT,live,2025-04-02T11:14:27.794988,2025-04-02 11:14:27.775058,SPY
2025-04-02 11:14:27.900452-04:00,-1,562.98,SHORT,live,2025-04-02T11:14:27.916430,2025-04-02 11:14:27.900452,SPY
2025-04-02 11:15:00.129643-04:00,-1,563.06,SHORT,live,2025-04-02T11:15:00.182298,2025-04-02 11:15:00.129643,SPY
2025-04-02 11:15:27.934240-04:00,-1,563.12,SHORT,live,2025-04-02T11:15:27.956111,2025-04-02 11:15:27.934240,SPY
2025-04-02 11:15:28.059693-04:00,-1,563.12,SHORT,live,2025-04-02T11:15:28.076252,2025-04-02 11:15:28.059693,SPY
2025-04-02 11:16:00.087348-04:00,-1,563.15,SHORT,live,2025-04-02T11:16:00.205394,2025-04-02 11:16:00.087348,SPY
2025-04-02 11:16:28.187927-04:00,-1,562.94,SHORT,live,2025-04-02T11:16:28.203707,2025-04-02 11:16:28.187927,SPY
2025-04-02 11:16:28.314314-04:00,-1,562.94,SHORT,live,2025-04-02T11:16:28.329438,2025-04-02 11:16:28.314314,SPY
2025-04-02 11:17:00.010574-04:00,-1,562.55,SHORT,live,2025-04-02T11:17:00.061315,2025-04-02 11:17:00.010574,SPY
2025-04-02 11:17:28.353648-04:00,-1,562.67,SHORT,live,2025-04-02T11:17:28.375009,2025-04-02 11:17:28.353648,SPY
2025-04-02 11:17:28.483954-04:00,-1,562.67,SHORT,live,2025-04-02T11:17:28.501790,2025-04-02 11:17:28.483954,SPY
2025-04-02 11:18:00.103549-04:00,-1,562.965,SHORT,live,2025-04-02T11:18:00.150291,2025-04-02 11:18:00.103549,SPY
2025-04-02 11:18:28.519248-04:00,-1,562.81,SHORT,live,2025-04-02T11:18:28.539935,2025-04-02 11:18:28.519248,SPY
2025-04-02 11:18:28.649492-04:00,-1,562.81,SHORT,live,2025-04-02T11:18:28.667021,2025-04-02 11:18:28.649492,SPY
2025-04-02 11:19:00.102223-04:00,-1,562.47,SHORT,live,2025-04-02T11:19:00.152285,2025-04-02 11:19:00.102223,SPY
2025-04-02 11:19:28.679890-04:00,-1,562.47,SHORT,live,2025-04-02T11:19:28.700821,2025-04-02 11:19:28.679890,SPY
2025-04-02 11:19:28.811728-04:00,-1,562.47,SHORT,live,2025-04-02T11:19:28.828744,2025-04-02 11:19:28.811728,SPY
2025-04-02 11:20:00.132927-04:00,-1,562.46,SHORT,live,2025-04-02T11:20:00.183536,2025-04-02 11:20:00.132927,SPY
2025-04-02 11:20:28.841653-04:00,-1,562.575,SHORT,live,2025-04-02T11:20:28.862591,2025-04-02 11:20:28.841653,SPY
2025-04-02 11:20:28.967542-04:00,-1,562.575,SHORT,live,2025-04-02T11:20:28.983676,2025-04-02 11:20:28.967542,SPY
2025-04-02 11:21:00.092606-04:00,-1,562.64,SHORT,live,2025-04-02T11:21:00.145118,2025-04-02 11:21:00.092606,SPY
2025-04-02 11:21:29.079959-04:00,-1,562.57,SHORT,live,2025-04-02T11:21:29.099485,2025-04-02 11:21:29.079959,SPY
2025-04-02 11:21:29.209417-04:00,-1,562.57,SHORT,live,2025-04-02T11:21:29.225290,2025-04-02 11:21:29.209417,SPY
2025-04-02 11:22:00.090168-04:00,-1,562.44,SHORT,live,2025-04-02T11:22:00.137443,2025-04-02 11:22:00.090168,SPY
2025-04-02 11:22:29.240620-04:00,-1,562.69,SHORT,live,2025-04-02T11:22:29.262005,2025-04-02 11:22:29.240620,SPY
2025-04-02 11:22:29.369343-04:00,-1,562.69,SHORT,live,2025-04-02T11:22:29.385965,2025-04-02 11:22:29.369343,SPY
2025-04-02 11:23:00.113440-04:00,-1,562.83,SHORT,live,2025-04-02T11:23:00.167753,2025-04-02 11:23:00.113440,SPY
2025-04-02 11:23:29.401968-04:00,-1,562.44,SHORT,live,2025-04-02T11:23:29.422033,2025-04-02 11:23:29.401968,SPY
2025-04-02 11:23:29.529912-04:00,-1,562.44,SHORT,live,2025-04-02T11:23:29.546753,2025-04-02 11:23:29.529912,SPY
2025-04-02 11:24:00.113838-04:00,-1,562.145,SHORT,live,2025-04-02T11:24:00.164492,2025-04-02 11:24:00.113838,SPY
2025-04-02 11:24:29.566818-04:00,-1,562.03,SHORT,live,2025-04-02T11:24:29.587258,2025-04-02 11:24:29.566818,SPY
2025-04-02 11:24:29.693765-04:00,-1,562.03,SHORT,live,2025-04-02T11:24:29.710062,2025-04-02 11:24:29.693765,SPY
2025-04-02 11:25:00.109806-04:00,-1,562.08,SHORT,live,2025-04-02T11:25:00.158940,2025-04-02 11:25:00.109806,SPY
2025-04-02 11:25:29.737083-04:00,-1,562.0,SHORT,live,2025-04-02T11:25:29.756353,2025-04-02 11:25:29.737083,SPY
2025-04-02 11:25:29.858920-04:00,-1,562.0,SHORT,live,2025-04-02T11:25:29.875057,2025-04-02 11:25:29.858920,SPY
2025-04-02 11:26:00.088564-04:00,-1,562.18,SHORT,live,2025-04-02T11:26:00.136135,2025-04-02 11:26:00.088564,SPY
2025-04-02 11:26:29.963006-04:00,-1,562.28,SHORT,live,2025-04-02T11:26:29.982438,2025-04-02 11:26:29.963006,SPY
2025-04-02 11:26:30.088409-04:00,-1,562.28,SHORT,live,2025-04-02T11:26:30.105011,2025-04-02 11:26:30.088409,SPY
2025-04-02 11:27:00.134989-04:00,-1,562.33,SHORT,live,2025-04-02T11:27:00.189873,2025-04-02 11:27:00.134989,SPY
2025-04-02 11:27:30.131824-04:00,-1,562.07,SHORT,live,2025-04-02T11:27:30.151888,2025-04-02 11:27:30.131824,SPY
2025-04-02 11:27:30.262100-04:00,-1,562.07,SHORT,live,2025-04-02T11:27:30.278338,2025-04-02 11:27:30.262100,SPY
2025-04-02 11:28:00.122568-04:00,-1,562.01,SHORT,live,2025-04-02T11:28:00.195119,2025-04-02 11:28:00.122568,SPY
2025-04-02 11:28:30.313046-04:00,-1,561.93,SHORT,live,2025-04-02T11:28:30.334480,2025-04-02 11:28:30.313046,SPY
2025-04-02 11:28:30.437067-04:00,-1,561.85,SHORT,live,2025-04-02T11:28:30.457035,2025-04-02 11:28:30.437067,SPY
2025-04-02 11:29:00.124696-04:00,-1,561.59,SHORT,live,2025-04-02T11:29:00.194079,2025-04-02 11:29:00.124696,SPY
2025-04-02 11:29:30.511645-04:00,-1,561.51,SHORT,live,2025-04-02T11:29:30.526995,2025-04-02 11:29:30.511645,SPY
2025-04-02 11:29:30.641668-04:00,-1,561.51,SHORT,live,2025-04-02T11:29:30.656880,2025-04-02 11:29:30.641668,SPY
2025-04-02 11:30:00.096637-04:00,-1,561.25,SHORT,live,2025-04-02T11:30:00.153948,2025-04-02 11:30:00.096637,SPY
2025-04-02 11:30:30.648339-04:00,-1,561.36,SHORT,live,2025-04-02T11:30:30.664663,2025-04-02 11:30:30.648339,SPY
2025-04-02 11:30:30.766879-04:00,-1,561.36,SHORT,live,2025-04-02T11:30:30.783292,2025-04-02 11:30:30.766879,SPY
2025-04-02 11:31:00.105029-04:00,-1,561.76,SHORT,live,2025-04-02T11:31:00.158065,2025-04-02 11:31:00.105029,SPY
2025-04-02 11:31:30.899024-04:00,-1,561.94,SHORT,live,2025-04-02T11:31:30.919770,2025-04-02 11:31:30.899024,SPY
2025-04-02 11:31:31.031559-04:00,-1,561.94,SHORT,live,2025-04-02T11:31:31.048287,2025-04-02 11:31:31.031559,SPY
2025-04-02 11:32:00.108129-04:00,-1,561.75,SHORT,live,2025-04-02T11:32:00.160014,2025-04-02 11:32:00.108129,SPY
2025-04-02 11:32:31.070029-04:00,-1,561.675,SHORT,live,2025-04-02T11:32:31.091045,2025-04-02 11:32:31.070029,SPY
2025-04-02 11:32:31.202196-04:00,-1,561.675,SHORT,live,2025-04-02T11:32:31.218967,2025-04-02 11:32:31.202196,SPY
2025-04-02 11:33:00.082527-04:00,-1,561.8,SHORT,live,2025-04-02T11:33:00.130915,2025-04-02 11:33:00.082527,SPY
2025-04-02 11:33:31.231212-04:00,-1,562.01,SHORT,live,2025-04-02T11:33:31.251714,2025-04-02 11:33:31.231212,SPY
2025-04-02 11:33:31.362954-04:00,-1,562.01,SHORT,live,2025-04-02T11:33:31.380458,2025-04-02 11:33:31.362954,SPY
2025-04-02 11:34:00.139034-04:00,-1,561.93,SHORT,live,2025-04-02T11:34:00.188732,2025-04-02 11:34:00.139034,SPY
2025-04-02 11:34:31.435812-04:00,-1,562.01,SHORT,live,2025-04-02T11:34:31.457017,2025-04-02 11:34:31.435812,SPY
2025-04-02 11:34:31.585460-04:00,-1,562.01,SHORT,live,2025-04-02T11:34:31.603159,2025-04-02 11:34:31.585460,SPY
2025-04-02 11:35:00.120622-04:00,-1,562.07,SHORT,live,2025-04-02T11:35:00.170724,2025-04-02 11:35:00.120622,SPY
2025-04-02 11:35:31.601324-04:00,-1,561.97,SHORT,live,2025-04-02T11:35:31.622226,2025-04-02 11:35:31.601324,SPY
2025-04-02 11:35:31.729327-04:00,-1,561.97,SHORT,live,2025-04-02T11:35:31.746233,2025-04-02 11:35:31.729327,SPY
2025-04-02 11:36:00.185530-04:00,0,562.54,FLAT,live,2025-04-02T11:36:00.232863,2025-04-02 11:36:00.185530,SPY
2025-04-02 11:36:32.006607-04:00,0,562.75,FLAT,live,2025-04-02T11:36:32.027267,2025-04-02 11:36:32.006607,SPY
2025-04-02 11:36:32.141700-04:00,0,562.75,FLAT,live,2025-04-02T11:36:32.158532,2025-04-02 11:36:32.141700,SPY
2025-04-02 11:37:00.180911-04:00,0,562.66,FLAT,live,2025-04-02T11:37:00.230655,2025-04-02 11:37:00.180911,SPY
2025-04-02 11:37:32.233797-04:00,0,562.77,FLAT,live,2025-04-02T11:37:32.249818,2025-04-02 11:37:32.233797,SPY
2025-04-02 11:37:32.353975-04:00,0,562.77,FLAT,live,2025-04-02T11:37:32.370143,2025-04-02 11:37:32.353975,SPY
2025-04-02 11:38:00.195820-04:00,0,562.96,FLAT,live,2025-04-02T11:38:00.277515,2025-04-02 11:38:00.195820,SPY
2025-04-02 11:38:32.435968-04:00,0,563.08,FLAT,live,2025-04-02T11:38:32.451362,2025-04-02 11:38:32.435968,SPY
2025-04-02 11:38:32.555068-04:00,0,563.08,FLAT,live,2025-04-02T11:38:32.570371,2025-04-02 11:38:32.555068,SPY
2025-04-02 11:39:00.137574-04:00,0,563.09,FLAT,live,2025-04-02T11:39:00.192747,2025-04-02 11:39:00.137574,SPY
2025-04-02 11:39:32.593231-04:00,0,563.23,FLAT,live,2025-04-02T11:39:32.615318,2025-04-02 11:39:32.593231,SPY
2025-04-02 11:39:32.731403-04:00,0,563.23,FLAT,live,2025-04-02T11:39:32.747046,2025-04-02 11:39:32.731403,SPY
2025-04-02 11:40:00.161555-04:00,0,563.275,FLAT,live,2025-04-02T11:40:00.214724,2025-04-02 11:40:00.161555,SPY
2025-04-02 11:40:32.782871-04:00,0,563.16,FLAT,live,2025-04-02T11:40:32.803749,2025-04-02 11:40:32.782871,SPY
2025-04-02 11:40:32.906410-04:00,0,563.16,FLAT,live,2025-04-02T11:40:32.923204,2025-04-02 11:40:32.906410,SPY
2025-04-02 11:41:00.124659-04:00,0,563.2,FLAT,live,2025-04-02T11:41:00.172660,2025-04-02 11:41:00.124659,SPY
2025-04-02 11:41:33.024362-04:00,0,563.45,FLAT,live,2025-04-02T11:41:33.045315,2025-04-02 11:41:33.024362,SPY
2025-04-02 11:41:33.156579-04:00,0,563.45,FLAT,live,2025-04-02T11:41:33.173402,2025-04-02 11:41:33.156579,SPY
2025-04-02 11:42:00.133106-04:00,0,563.5,FLAT,live,2025-04-02T11:42:00.181554,2025-04-02 11:42:00.133106,SPY
2025-04-02 11:42:33.198530-04:00,0,563.73,FLAT,live,2025-04-02T11:42:33.218694,2025-04-02 11:42:33.198530,SPY
